stats_player_id,player_name,player_name_short,team_name,match_status
8878ylajni2r8urup9mvg7idx,Khalil Ibrahim,Khalil Ibrahim Ali Abdulla,Al Dhafra FC,confirmed
bpol6uylfbv31csr84ncudqms,Jean Faelix Mendy,Jean,Al Jazira Club,confirmed
die8ml5x5lfzofulcfsn0g3c9,Adrian Gheorghe È˜ut,Adrian,Al Ain FC,confirmed
elvsxpeb8ewvfm6qmpdwys0r9,Fawaz Awana,Fawaz Awana Ahmed Hussain,Bani Yas Club,confirmed
137yh9yoooy7uo7on8arbcjro,Herman Junior Kameni,Junior,Khorfakkan Club,confirmed
3hrzo1oqwihcra7yaj6jryeqc,David Gondim,David,Sharjah FC,confirmed
cxzkpg9a9jgucv9ddygcxjfh0,Rostand Djooh,Rostand Delord,Al Dhafra FC,confirmed
5ew7m1dv28eol5puyj59mryp6,Yahya Al Ghassani,Yahya Ali Said,Shabab Al Ahli Club,confirmed
yli36z0ead9yvggj4nz8rt9l,Abdulla Al Karbi,Abdulla Faisal Nasser Nasser,Al Dhafra FC,confirmed
4f67fs5dnaszy93p8q41xkjro,Nikola VukiÄ‡,Nikola,Al Jazira Club,confirmed
1uezoyd4pygs6uqo9gsw611xw,Khamis Al Mansoori,Khamis Ahmed Jar Allah Hussain,Bani Yas Club,confirmed
5o43ynwiuz7eijffckixab9ey,Marcus Meloni,Marcus Vinicius,Al Jazira Club,confirmed
f4p8dj5z785gh4j9t6zp2c9gp,Yousef Al Ameri,Yousef Abdulkareem Mohamed Saeed,Khorfakkan Club,confirmed
c97wwtzo4vo4hzl8rmbgevndg,Hamad Fahad,Hamad Fahad Mousa Ibrahim,Sharjah FC,confirmed
76rmohhgmynw9zxknudcbgdbe,Abdulla Hamad,Abdulla Hamad Mohamed,Al Wahda FC,confirmed
daixxkft705qt00hd51aguw44,Mobin Amir Dehghan,Mobin,Al Wahda FC,confirmed
j125vpcxio8c82ljiiu57ucq,Sekou Bable Georges Lega,Sekou,Al Bataeh Club,confirmed
92f0b3igi18fgoo4q66mgxiol,Caio Lucas,Caio,Sharjah FC,confirmed
9acx7bebgukh250ogr7z8eehh,Abdalla Ghanim,Abdalla Ghanim Juma,Sharjah FC,confirmed
2epv6r3psu3unr3zm7ge6v0iy,Ãlvaro de Oliveira,Ãlvaro,Al Bataeh Club,confirmed
8m4ojqfupge365h4b1v6m2oes,Oussema Abid,Oussema,Bani Yas Club,confirmed
9gngbbrghzxgho6tk8b10g8ut,Ahmed Al Hosani,Ahmed Hamdan Ibrahim Saeed,Khorfakkan Club,confirmed
969jentyjdrd08fp9fx6x6aqd,Abdulla Saleh,Abdulla Saleh Khamis,Ajman Club,ambiguous
6zkx3r5yv751wlkt1tq6eo8b8,Anas Mtitache,Anas,Ajman Club,confirmed
865zysxrp1iyhui9efa4lkjro,Lionel SebastiÃ¡n Verde,Lionel,Bani Yas Club,confirmed
bf1jbsjp8kgqelltxm81rv015,Majid Rashid,Majid Rashid Sultan Al Khabeel,Sharjah FC,confirmed
bgpzwtl8g6p2q8ja9vdivcwes,Arshia Sarshogh,Arshia,Sharjah FC,confirmed
4q9toym3sv72zpuqdlu1bz8r8,Igor Serrote,Igor Eduardo,Al Jazira Club,confirmed
bzmg4issx5h1jmf88p58q6j8p,NicolÃ¡s GimÃ©nez,NicolÃ¡s Ezequiel,Al Wasl Club,confirmed
2g24bv8fg4yqjr178u9w5uzv8,Abderahmane Soussi,Abderahmane,Al Dhafra FC,confirmed
c93s1bded174dvab4jygslal1,Hassan Hamza,Hassan Hamza Ali Hussain,Shabab Al Ahli Club,confirmed
9jtluhvxqhsriduvu5dn4oiz8,Fahd Jassim,Fahd Jassim Muhammad Abdullah,Sharjah FC,confirmed
6xdittegewporxj83ujh55uxh,Abdalla Al Naqbi,Abdalla Ali Hassan Mohamed Rashid,Khorfakkan Club,confirmed
5ynxuzex2zk8y0n4nsvkcefl6,Yaser Al Blooshi,Yaser Hassan Mohamed,Al Ittihad Kalba,confirmed
d6ppa6rkrk1cnqz7yo39hw7e2,Takashi Uchino,Takashi,Dibba FC,confirmed
2xgvd7xovqcd6q30m59dbi11x,Sayed Saman Ghoddos,Saman,Al Ittihad Kalba,confirmed
fo6c1fjnqkez490vdgt39wyc,Jacob Gildas Awoute,Jacob,Bani Yas Club,confirmed
7fwclc7p9hytc1ijeqzl59444,Khalifa Hussain,Khalifa Hussain Ahmed Ali,Bani Yas Club,confirmed
2hrcabu7qohw5d1vy51bynx90,Mamadou Coulibaly,Mamadou,Al Jazira Club,confirmed
6aiuzrhkonpzzs9jzy8eyd8gk,Matar Zaal,Matar Zaal Matar Khamis,Sharjah FC,confirmed
2xjoqdqokuvzgdmgtb4oxbuy2,Oumar TraorÃ© N'djefi,Oumar,Al Jazira Club,confirmed
4qybtk9laz8pfq22b1s7i4650,Joshua Udoh,Joshua,Al Ain FC,confirmed
6rc4el8r1mb9t0tacb2fjn4d1,Zayed Al Ameri,Zayed Abdulla Braik Saeed,Al Dhafra FC,confirmed
